"","brood_year","TagCode","hatchery","species_name","run_name","stock","psc_region","avg_weight","avg_length","first_release_date","LastRelDate","Ad_CWT","Unclipped_CWT","total_cwt_rel","release_site","release_year"
"93",2013,"636638","NORTH TOUTLE HATCHERY","Chinook","Fall","TOUTLE R     26.0227","LOCR",5.66,78,2014-07-01,2014-07-11,99416,580,99996,"GREEN R      26.0323","2014"
"94",2000,"093250","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.77,NA,2001-05-05,2001-05-31,224267,828,225095,"BIG CR (LWR COL R)","2001"
"95",2000,"093313","KLASKANINE HATCHERY","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",26.05,NA,2001-09-20,2001-09-20,27000,0,27000,"KLASKANINE R N FK","2001"
"96",2013,"090864","BONNEVILLE HATCHERY","Chinook","Fall","COLUMBIA R TULES","LOCR",5.28,NA,2014-05-16,2014-05-16,164113,0,164113,"TANNER CR (BNVILLE)","2014"
"97",2016,"637097","FALLERT CR HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",5.66,76,2017-06-22,2017-06-22,51551,0,51551,"FALLERT CR   27.0017","2017"
"98",2009,"635196","KALAMA FALLS HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",5.11,77,2010-07-20,2010-07-20,89286,1184,90470,"KALAMA R     27.0002","2010"
"99",2000,"093260","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",20.17,NA,2001-07-04,2001-07-04,24743,179,24922,"YOUNGS R & BAY","2001"
"100",2019,"091498","KLASKANINE HATCHERY","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",9.34,NA,2020-07-29,2020-07-31,42131,152,42283,"KLASKANINE R N FK","2020"
"101",2001,"093532","KLASKANINE HATCHERY","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",19.53,NA,2002-08-22,2002-08-22,21587,0,21587,"KLASKANINE R N FK","2002"
"102",2011,"636190",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",2.83,NA,2012-06-07,2012-07-05,46868,0,46868,"LEWIS R -NF  27.0168","2012"
